Timestamp,Arbitration_ID,DLC,Data,Arbitration_ID(int),PGN,PF,PS,SA,Data(int)
2.19928,18EEFF00,8,00 00 E0 FF 00 00 00 00,418316032,60928,238,255,0,"[0, 0, 224, 255, 0, 0, 0, 0]"
2.19985,18EEFF0B,8,00 00 E0 FF 00 09 00 00,418316043,60928,238,255,11,"[0, 0, 224, 255, 0, 9, 0, 0]"
2.20043,18EEFF03,8,00 00 E0 FF 00 03 00 00,418316035,60928,238,255,3,"[0, 0, 224, 255, 0, 3, 0, 0]"
2.44915,CF00400,8,FF FF B0 50 14 FF FF FF,217056256,61444,240,4,0,"[255, 255, 176, 80, 20, 255, 255, 255]"
2.44972,18F0010B,8,FF FF FF FF FF C1 FF FF,418382091,61441,240,1,11,"[255, 255, 255, 255, 255, 193, 255, 255]"
2.45029,18F00503,8,66 FF FF 65 FF FF FF FF,418383107,61445,240,5,3,"[102, 255, 255, 101, 255, 255, 255, 255]"
2.45085,18FEEF00,8,FF FF 66 66 FF FF 66 66,419360512,65263,254,239,0,"[255, 255, 102, 102, 255, 255, 102, 102]"
2.45143,18FEF200,8,17 09 37 27 FF FF FF FF,419361280,65266,254,242,0,"[23, 9, 55, 39, 255, 255, 255, 255]"
2.45201,18FEF100,8,F0 00 00 FD FF FF FF FF,419361024,65265,254,241,0,"[240, 0, 0, 253, 255, 255, 255, 255]"
2.45257,CF00A00,8,E8 66 E8 66 FF FF FF FF,217057792,61450,240,10,0,"[232, 102, 232, 102, 255, 255, 255, 255]"
2.45316,18FEDF00,8,B0 FF FF FF FF FF FF FF,419356416,65247,254,223,0,"[176, 255, 255, 255, 255, 255, 255, 255]"
2.45374,18FEE000,8,08 20 00 00 70 00 00 00,419356672,65248,254,224,0,"[8, 32, 0, 0, 112, 0, 0, 0]"
2.4543,18FEF600,8,FF 66 52 66 FF 21 3B FF,419362304,65270,254,246,0,"[255, 102, 82, 102, 255, 33, 59, 255]"
2.45488,CF00203,8,FF FF FF FF FF FF FF 03,217055747,61442,240,2,3,"[255, 255, 255, 255, 255, 255, 255, 3]"
2.45545,CF00300,8,FF 66 33 FF FF FF FF FF,217056000,61443,240,3,0,"[255, 102, 51, 255, 255, 255, 255, 255]"
2.45873,CF00203,8,FF FF FF FF FF FF FF 03,217055747,61442,240,2,3,"[255, 255, 255, 255, 255, 255, 255, 3]"
2.46128,18EAFFF9,3,E5 FE 00,418054137,59904,234,255,249,"[229, 254, 0]"
2.46167,18EAFFF9,3,EC FE 00,418054137,59904,234,255,249,"[236, 254, 0]"
2.46225,18FEE500,8,09 06 00 00 FF FF FF FF,419357952,65253,254,229,0,"[9, 6, 0, 0, 255, 255, 255, 255]"
2.46265,18EAFFF9,3,E6 FE 00,418054137,59904,234,255,249,"[230, 254, 0]"
2.46322,1CECFF00,8,20 12 00 03 FF EC FE 00,485293824,60416,236,255,0,"[32, 18, 0, 3, 255, 236, 254, 0]"
2.4638,18FEE600,8,FF 04 06 FF FF FF FF FF,419358208,65254,254,230,0,"[255, 4, 6, 255, 255, 255, 255, 255]"
